"MatchId","TournamentRound","PieRound","Year","Pie","Votes","Points","Opponent","OpponentVotes","OpponentPoints","Result"
"POGSVOwsXnaq","1","1","1","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","3","3","Buttermilk Chess","0","0","WIN"
"POGSVOwsXnaq","1","1","1","Buttermilk Chess","0","0","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","3","3","LOSS"
"v2crbm2N-kUF","1","1","1","Butterscotch Pecan Blondie","2","2","Cabernet Berry","1","1","WIN"
"v2crbm2N-kUF","1","1","1","Cabernet Berry","1","1","Butterscotch Pecan Blondie","2","2","LOSS"
"NYGeOEP_Iw35","1","1","1","Caramel Apple","1","1","Cherry (Crumb or Crust)","2","2","LOSS"
"NYGeOEP_Iw35","1","1","1","Cherry (Crumb or Crust)","2","2","Caramel Apple","1","1","WIN"
"k7wP7YnsYXSF","1","1","1","Blueberry Muffin","0","0","Bourbon Chocolate Pecan","3","3","LOSS"
"k7wP7YnsYXSF","1","1","1","Bourbon Chocolate Pecan","3","3","Blueberry Muffin","0","0","WIN"
"Gn40Vjl9RSXM","1","1","1","Amish Apple","2","2","Apple (Double Crust or Crumb)","1","1","WIN"
"Gn40Vjl9RSXM","1","1","1","Apple (Double Crust or Crumb)","1","1","Amish Apple","2","2","LOSS"
"K_ESTXQL86bW","1","1","1","Apple Chai","3","3","Apple Walnut Raisin","0","0","WIN"
"K_ESTXQL86bW","1","1","1","Apple Walnut Raisin","0","0","Apple Chai","3","3","LOSS"
"lFtb89M47hL_","1","1","1","Blackberry","1","1","Blueberry Crisp","2","2","LOSS"
"lFtb89M47hL_","1","1","1","Blueberry Crisp","2","2","Blackberry","1","1","WIN"
"","1","0","1","Chocolate Pecan","0","0","","0","","BYE"
"WT3U3cSQsMX_","2","1","1","Chocolate Pecan","0","0","Butterscotch Pecan Blondie","3","6","LOSS"
"WT3U3cSQsMX_","2","2","1","Butterscotch Pecan Blondie","3","6","Chocolate Pecan","0","0","WIN"
"","1","0","1","Chocolate Honey Pecan","0","0","","0","","BYE"
"Hg71oMLWJTew","2","1","1","Chocolate Honey Pecan","1","1","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","2","4","LOSS"
"Hg71oMLWJTew","2","2","1","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","2","4","Chocolate Honey Pecan","1","1","WIN"
"","1","0","1","Coffee Cake Muffin ","0","0","","0","","BYE"
"vBAQqEg2_fhM","2","1","1","Coffee Cake Muffin ","1","1","Cherry (Crumb or Crust)","2","4","LOSS"
"vBAQqEg2_fhM","2","2","1","Cherry (Crumb or Crust)","2","4","Coffee Cake Muffin ","1","1","WIN"
"","1","0","1","Cinnamon Roll Apple","0","0","","0","","BYE"
"","1","0","1","Coconut Chocolate Chip Cookie","0","0","","0","","BYE"
"4BiEfRkMVU83","2","1","1","Cinnamon Roll Apple","3","3","Coconut Chocolate Chip Cookie","0","0","WIN"
"4BiEfRkMVU83","2","1","1","Coconut Chocolate Chip Cookie","0","0","Cinnamon Roll Apple","3","3","LOSS"
"","1","0","1","Chocolate Bourbon Pecan","0","0","","0","","BYE"
"hJoTL-3bap3N","2","1","1","Chocolate Bourbon Pecan","2","2","Apple Chai","1","2","WIN"
"hJoTL-3bap3N","2","2","1","Apple Chai","1","2","Chocolate Bourbon Pecan","2","2","LOSS"
"","1","0","1","Cherry Almond","0","0","","0","","BYE"
"E_497uTCJl33","2","1","1","Cherry Almond","0","0","Amish Apple","3","6","LOSS"
"E_497uTCJl33","2","2","1","Amish Apple","3","6","Cherry Almond","0","0","WIN"
"","1","0","1","Chocolate Chip Cookie (Nuts or M&M's) ","0","0","","0","","BYE"
"olzJlHKL9bkW","2","1","1","Chocolate Chip Cookie (Nuts or M&M's) ","0","0","Bourbon Chocolate Pecan","3","6","LOSS"
"olzJlHKL9bkW","2","2","1","Bourbon Chocolate Pecan","3","6","Chocolate Chip Cookie (Nuts or M&M's) ","0","0","WIN"
"","1","0","1","Chocolate Chess","0","0","","0","","BYE"
"385KMzO1O-Mu","2","1","1","Chocolate Chess","1","1","Blueberry Crisp","2","4","LOSS"
"385KMzO1O-Mu","2","2","1","Blueberry Crisp","2","4","Chocolate Chess","1","1","WIN"
"nc7Ov5gyxZjKx","3","3","1","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","0","0","Butterscotch Pecan Blondie","3","9","LOSS"
"nc7Ov5gyxZjKx","3","3","1","Butterscotch Pecan Blondie","3","9","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","0","0","WIN"
"bfP_wPPZFwvXC","3","2","1","Cinnamon Roll Apple","1","2","Cherry (Crumb or Crust)","2","6","LOSS"
"bfP_wPPZFwvXC","3","3","1","Cherry (Crumb or Crust)","2","6","Cinnamon Roll Apple","1","2","WIN"
"D5atJEv9D1e7W","3","3","1","Amish Apple","1","3","Chocolate Bourbon Pecan","2","4","LOSS"
"D5atJEv9D1e7W","3","2","1","Chocolate Bourbon Pecan","2","4","Amish Apple","1","3","WIN"
"e8gIAbgIazIXU","3","3","1","Blueberry Crisp","2","6","Bourbon Chocolate Pecan","1","3","WIN"
"e8gIAbgIazIXU","3","3","1","Bourbon Chocolate Pecan","1","3","Blueberry Crisp","2","6","LOSS"
"oBSnSaCaPYkAy","4","4","1","Butterscotch Pecan Blondie","3","12","Cherry (Crumb or Crust)","0","0","WIN"
"oBSnSaCaPYkAy","4","4","1","Cherry (Crumb or Crust)","0","0","Butterscotch Pecan Blondie","3","12","LOSS"
"_PtIyi8qDLafX","4","3","1","Chocolate Bourbon Pecan","2","6","Blueberry Crisp","1","4","WIN"
"_PtIyi8qDLafX","4","4","1","Blueberry Crisp","1","4","Chocolate Bourbon Pecan","2","6","LOSS"
"1ea9QoUMbaoa1","5","4","1","Chocolate Bourbon Pecan","1","4","Butterscotch Pecan Blondie","2","10","LOSS"
"1ea9QoUMbaoa1","5","5","1","Butterscotch Pecan Blondie","2","10","Chocolate Bourbon Pecan","1","4","WIN"
"Ou2cz2DTjSP6","1","1","1","Maple Bourbon Walnut ","2","2","Mixed Berry","1","1","WIN"
"Ou2cz2DTjSP6","1","1","1","Mixed Berry","1","1","Maple Bourbon Walnut ","2","2","LOSS"
"wkcuPpKHP-d-","1","1","1","Monster Cookie","1","1","Orange Cranberry Custard ","2","2","LOSS"
"wkcuPpKHP-d-","1","1","1","Orange Cranberry Custard ","2","2","Monster Cookie","1","1","WIN"
"GovZKrBKoSzj","1","1","1","Oreo","1","1","Peach (Seasonal - Summer) ","2","2","LOSS"
"GovZKrBKoSzj","1","1","1","Peach (Seasonal - Summer) ","2","2","Oreo","1","1","WIN"
"022FQ1oRR6ZZ","1","1","1","Lemon Chess","2","2","Macaroon","1","1","WIN"
"022FQ1oRR6ZZ","1","1","1","Macaroon","1","1","Lemon Chess","2","2","LOSS"
"9BWgN-G6ZPYC","1","1","1","Cranberry Apple ","1","1","Cranberry Muffin ","2","2","LOSS"
"9BWgN-G6ZPYC","1","1","1","Cranberry Muffin ","2","2","Cranberry Apple ","1","1","WIN"
"tsUX5TdbgPZw","1","1","1","Cranberry Streusel ","2","2","Egg Custard","1","1","WIN"
"tsUX5TdbgPZw","1","1","1","Egg Custard","1","1","Cranberry Streusel ","2","2","LOSS"
"mwSKpJRn49l_","1","1","1","French Coconut","2","2","Honey Pecan","1","1","WIN"
"mwSKpJRn49l_","1","1","1","Honey Pecan","1","1","French Coconut","2","2","LOSS"
"","1","0","1","Samoa","0","0","","0","","BYE"
"JAdY6Dvon2mC","2","1","1","Samoa","1","1","Orange Cranberry Custard ","2","4","LOSS"
"JAdY6Dvon2mC","2","2","1","Orange Cranberry Custard ","2","4","Samoa","1","1","WIN"
"","1","0","1","S'mores","0","0","","0","","BYE"
"OeWx-TxiOsYQ","2","1","1","S'mores","0","0","Maple Bourbon Walnut ","3","6","LOSS"
"OeWx-TxiOsYQ","2","2","1","Maple Bourbon Walnut ","3","6","S'mores","0","0","WIN"
"","1","0","1","Southern Velvet","0","0","","0","","BYE"
"onNkY6NCLpm8","2","1","1","Southern Velvet","1","1","Peach (Seasonal - Summer) ","2","4","LOSS"
"onNkY6NCLpm8","2","2","1","Peach (Seasonal - Summer) ","2","4","Southern Velvet","1","1","WIN"
"","1","0","1","Shoofly","0","0","","0","","BYE"
"","1","0","1","Southern Oatmeal Rum Raisin ","0","0","","0","","BYE"
"HX6Th_200-so","2","1","1","Shoofly","0","0","Southern Oatmeal Rum Raisin ","3","3","LOSS"
"HX6Th_200-so","2","1","1","Southern Oatmeal Rum Raisin ","3","3","Shoofly","0","0","WIN"
"","1","0","1","Pumpkin Cream Cheese ","0","0","","0","","BYE"
"z2n42KAxJWEq","2","1","1","Pumpkin Cream Cheese ","2","2","Cranberry Streusel ","1","2","WIN"
"z2n42KAxJWEq","2","2","1","Cranberry Streusel ","1","2","Pumpkin Cream Cheese ","2","2","LOSS"
"","1","0","1","Pumpkin","0","0","","0","","BYE"
"5ua3R7PjGgm0","2","1","1","Pumpkin","2","2","Cranberry Muffin ","1","2","WIN"
"5ua3R7PjGgm0","2","2","1","Cranberry Muffin ","1","2","Pumpkin","2","2","LOSS"
"","1","0","1","Razzelberry","0","0","","0","","BYE"
"XshAaS0AklwS","2","1","1","Razzelberry","2","2","Lemon Chess","1","2","WIN"
"XshAaS0AklwS","2","2","1","Lemon Chess","1","2","Razzelberry","2","2","LOSS"
"","1","0","1","Raspberry Muffin","0","0","","0","","BYE"
"r5aV3AzIauF3","2","1","1","Raspberry Muffin","1","1","French Coconut","2","4","LOSS"
"r5aV3AzIauF3","2","2","1","French Coconut","2","4","Raspberry Muffin","1","1","WIN"
"HM8QjUMJsCB3x","3","3","1","Maple Bourbon Walnut ","2","6","Orange Cranberry Custard ","1","3","WIN"
"HM8QjUMJsCB3x","3","3","1","Orange Cranberry Custard ","1","3","Maple Bourbon Walnut ","2","6","LOSS"
"DU-0yulLWQJPn","3","2","1","Southern Oatmeal Rum Raisin ","1","2","Peach (Seasonal - Summer) ","2","6","LOSS"
"DU-0yulLWQJPn","3","3","1","Peach (Seasonal - Summer) ","2","6","Southern Oatmeal Rum Raisin ","1","2","WIN"
"f9wVf8K4jrutD","3","2","1","Pumpkin","2","4","Pumpkin Cream Cheese ","1","2","WIN"
"f9wVf8K4jrutD","3","2","1","Pumpkin Cream Cheese ","1","2","Pumpkin","2","4","LOSS"
"S3DTmBuqgIpbL","3","3","1","French Coconut","0","0","Razzelberry","3","6","LOSS"
"S3DTmBuqgIpbL","3","2","1","Razzelberry","3","6","French Coconut","0","0","WIN"
"DkRquU_5BAmds","4","4","1","Maple Bourbon Walnut ","2","8","Peach (Seasonal - Summer) ","1","4","WIN"
"DkRquU_5BAmds","4","4","1","Peach (Seasonal - Summer) ","1","4","Maple Bourbon Walnut ","2","8","LOSS"
"CBBcSIutmlKqS","4","3","1","Pumpkin","2","6","Razzelberry","1","3","WIN"
"CBBcSIutmlKqS","4","3","1","Razzelberry","1","3","Pumpkin","2","6","LOSS"
"Jrp2gHaBy7ASF","5","4","1","Pumpkin","2","8","Maple Bourbon Walnut ","1","5","WIN"
"Jrp2gHaBy7ASF","5","5","1","Maple Bourbon Walnut ","1","5","Pumpkin","2","8","LOSS"
"mKg6X31mxzXA","1","1","1","Lemon Meringue ","2","2","Margarita","1","1","WIN"
"mKg6X31mxzXA","1","1","1","Margarita","1","1","Lemon Meringue ","2","2","LOSS"
"02Kk93jDDxba","1","1","1","Nutter Butter","1","1","Oreo Cream","2","2","LOSS"
"02Kk93jDDxba","1","1","1","Oreo Cream","2","2","Nutter Butter","1","1","WIN"
"sv8jkhCephck","1","1","1","Peanut Chip","2","2","Ping Colada","1","1","WIN"
"sv8jkhCephck","1","1","1","Ping Colada","1","1","Peanut Chip","2","2","LOSS"
"A7bxHvLdrTkp","1","1","1","Key Lime","3","3","Lemon Cream","0","0","WIN"
"A7bxHvLdrTkp","1","1","1","Lemon Cream","0","0","Key Lime","3","3","LOSS"
"o5hQ_ZHVmT0h","1","1","1","Strawberry Blackberry","2","2","Strawberry Blueberry","1","1","WIN"
"o5hQ_ZHVmT0h","1","1","1","Strawberry Blueberry","1","1","Strawberry Blackberry","2","2","LOSS"
"Rxs6yq6xmnqm","1","1","1","Strawberry Sour Cream ","0","0","Strawberry/Rhubarb (Seasonal ??? Spring) ","3","3","LOSS"
"Rxs6yq6xmnqm","1","1","1","Strawberry/Rhubarb (Seasonal ??? Spring) ","3","3","Strawberry Sour Cream ","0","0","WIN"
"DRhE91yOACAr","1","1","1","Sugar Crack","0","0","Sweet Potato","3","3","LOSS"
"DRhE91yOACAr","1","1","1","Sweet Potato","3","3","Sugar Crack","0","0","WIN"
"","1","0","1","Strawberry Lemonade ","0","0","","0","","BYE"
"bJ_IlzzRmJjG","2","1","1","Strawberry Lemonade ","3","3","Oreo Cream","0","0","WIN"
"bJ_IlzzRmJjG","2","2","1","Oreo Cream","0","0","Strawberry Lemonade ","3","3","LOSS"
"","1","0","1","Snickers","0","0","","0","","BYE"
"X_b6shxEC7Iw","2","1","1","Snickers","0","0","Lemon Meringue ","3","6","LOSS"
"X_b6shxEC7Iw","2","2","1","Lemon Meringue ","3","6","Snickers","0","0","WIN"
"","1","0","1","Tres Leches","0","0","","0","","BYE"
"ggElCbjFQ3g1","2","1","1","Tres Leches","3","3","Peanut Chip","0","0","WIN"
"ggElCbjFQ3g1","2","2","1","Peanut Chip","0","0","Tres Leches","3","3","LOSS"
"","1","0","1","Strawberry Shortcake ","0","0","","0","","BYE"
"","1","0","1","Tiramisu","0","0","","0","","BYE"
"1hgBtvFrRhI7","2","1","1","Strawberry Shortcake ","1","1","Tiramisu","2","2","LOSS"
"1hgBtvFrRhI7","2","1","1","Tiramisu","2","2","Strawberry Shortcake ","1","1","WIN"
"","1","0","1","Pumpkin Marshmallow","0","0","","0","","BYE"
"ppvi-GxeniTY","2","1","1","Pumpkin Marshmallow","2","2","Strawberry/Rhubarb (Seasonal ??? Spring) ","1","2","WIN"
"ppvi-GxeniTY","2","2","1","Strawberry/Rhubarb (Seasonal ??? Spring) ","1","2","Pumpkin Marshmallow","2","2","LOSS"
"","1","0","1","Pumpkin Chocolate ","0","0","","0","","BYE"
"dNw1Z1aT7nw0","2","1","1","Pumpkin Chocolate ","0","0","Strawberry Blackberry","3","6","LOSS"
"dNw1Z1aT7nw0","2","2","1","Strawberry Blackberry","3","6","Pumpkin Chocolate ","0","0","WIN"
"","1","0","1","Reese's","0","0","","0","","BYE"
"-FJVN6L_eWAF","2","1","1","Reese's","0","0","Key Lime","3","6","LOSS"
"-FJVN6L_eWAF","2","2","1","Key Lime","3","6","Reese's","0","0","WIN"
"","1","0","1","Red Velvet Cream ","0","0","","0","","BYE"
"E_hLpwcAnjaA","2","1","1","Red Velvet Cream ","1","1","Sweet Potato","2","4","LOSS"
"E_hLpwcAnjaA","2","2","1","Sweet Potato","2","4","Red Velvet Cream ","1","1","WIN"
"Yi3GSCEtAlQ90","3","3","1","Lemon Meringue ","2","6","Strawberry Lemonade ","1","2","WIN"
"Yi3GSCEtAlQ90","3","2","1","Strawberry Lemonade ","1","2","Lemon Meringue ","2","6","LOSS"
"bHrzQx5tuhDtU","3","2","1","Tiramisu","1","2","Tres Leches","2","4","LOSS"
"bHrzQx5tuhDtU","3","2","1","Tres Leches","2","4","Tiramisu","1","2","WIN"
"5K76pY7Ig0Fsm","3","3","1","Strawberry Blackberry","2","6","Pumpkin Marshmallow","1","2","WIN"
"5K76pY7Ig0Fsm","3","2","1","Pumpkin Marshmallow","1","2","Strawberry Blackberry","2","6","LOSS"
"jgyv3LMxDtenR","3","3","1","Sweet Potato","2","6","Key Lime","1","3","WIN"
"jgyv3LMxDtenR","3","3","1","Key Lime","1","3","Sweet Potato","2","6","LOSS"
"pGH8BcQKeG-IO","4","4","1","Lemon Meringue ","2","8","Tres Leches","1","3","WIN"
"pGH8BcQKeG-IO","4","3","1","Tres Leches","1","3","Lemon Meringue ","2","8","LOSS"
"E2U9mxQq72ZvX","4","4","1","Strawberry Blackberry","0","0","Sweet Potato","3","12","LOSS"
"E2U9mxQq72ZvX","4","4","1","Sweet Potato","3","12","Strawberry Blackberry","0","0","WIN"
"eLDay4J_Wez2T","5","5","1","Sweet Potato","1","5","Lemon Meringue ","2","10","LOSS"
"eLDay4J_Wez2T","5","5","1","Lemon Meringue ","2","10","Sweet Potato","1","5","WIN"
"SwZPzAUxaj9Q","1","1","1","Boston Cream","1","1","Buckeye","2","2","LOSS"
"SwZPzAUxaj9Q","1","1","1","Buckeye","2","2","Boston Cream","1","1","WIN"
"eaKR8R3HfTQd","1","1","1","Black Bottom Mocha","0","0","Boozy Blackberry Orange Cream ","3","3","LOSS"
"eaKR8R3HfTQd","1","1","1","Boozy Blackberry Orange Cream ","3","3","Black Bottom Mocha","0","0","WIN"
"1N3k3USdZb5n","1","1","1","Chocolate Cloud","2","2","Chocolate Covered Strawberry ","1","1","WIN"
"1N3k3USdZb5n","1","1","1","Chocolate Covered Strawberry ","1","1","Chocolate Cloud","2","2","LOSS"
"bTbfU1603SUU","1","1","1","Butterscotch Cream","0","0","Carrot Cake","3","3","LOSS"
"bTbfU1603SUU","1","1","1","Carrot Cake","3","3","Butterscotch Cream","0","0","WIN"
"eqEFZmv1gm0_","1","1","1","Astronaut","2","2","Atlantic Beach","1","1","WIN"
"eqEFZmv1gm0_","1","1","1","Atlantic Beach","1","1","Astronaut","2","2","LOSS"
"oFJN2zp-w2Bi","1","1","1","Unicorn","0","0","Whiskey Silk","3","3","LOSS"
"oFJN2zp-w2Bi","1","1","1","Whiskey Silk","3","3","Unicorn","0","0","WIN"
"5IXvaeVXTpKe","1","1","1","Banana Cream","2","2","Banana Coconut Cream","1","1","WIN"
"5IXvaeVXTpKe","1","1","1","Banana Coconut Cream","1","1","Banana Cream","2","2","LOSS"
"mTCimcaL3tBv","1","1","1","Aunt Audrey's Chocolate Cream ","1","1","Banana Caramel Cream","2","2","LOSS"
"mTCimcaL3tBv","1","1","1","Banana Caramel Cream","2","2","Aunt Audrey's Chocolate Cream ","1","1","WIN"
"","1","0","1","German Chocolate Pie","0","0","","0","","BYE"
"Pu_vuWRCaNdt","2","1","1","German Chocolate Pie","2","2","Buckeye","1","2","WIN"
"Pu_vuWRCaNdt","2","2","1","Buckeye","1","2","German Chocolate Pie","2","2","LOSS"
"","1","0","1","Funky Monkey","0","0","","0","","BYE"
"cTP_v47MvkCw","2","1","1","Funky Monkey","0","0","Boozy Blackberry Orange Cream ","3","6","LOSS"
"cTP_v47MvkCw","2","2","1","Boozy Blackberry Orange Cream ","3","6","Funky Monkey","0","0","WIN"
"","1","0","1","Irish Cream Brownie","0","0","","0","","BYE"
"W3tdF8QPkKayQ","2","1","1","Irish Cream Brownie","3","3","Chocolate Cloud","0","0","WIN"
"W3tdF8QPkKayQ","2","2","1","Chocolate Cloud","0","0","Irish Cream Brownie","3","3","LOSS"
"","1","0","1","Hazelnut Cream","0","0","","0","","BYE"
"KWfg43pS-Clw","2","1","1","Hazelnut Cream","0","0","Carrot Cake","3","6","LOSS"
"KWfg43pS-Clw","2","2","1","Carrot Cake","3","6","Hazelnut Cream","0","0","WIN"
"","1","0","1","Coconut/Banana Cream","0","0","","0","","BYE"
"elAc_IN2eAZf","2","1","1","Coconut/Banana Cream","1","1","Astronaut","2","4","LOSS"
"elAc_IN2eAZf","2","2","1","Astronaut","2","4","Coconut/Banana Cream","1","1","WIN"
"","1","0","1","Coconut Cream","0","0","","0","","BYE"
"mPWJLgq3IHfa","2","1","1","Coconut Cream","0","0","Whiskey Silk","3","6","LOSS"
"mPWJLgq3IHfa","2","2","1","Whiskey Silk","3","6","Coconut Cream","0","0","WIN"
"","1","0","1","Dirt","0","0","","0","","BYE"
"V5LJHXyi2bwM","2","1","1","Dirt","2","2","Banana Cream","1","2","WIN"
"V5LJHXyi2bwM","2","2","1","Banana Cream","1","2","Dirt","2","2","LOSS"
"","1","0","1","Dark Chocolate Cream","0","0","","0","","BYE"
"uAFjXJN_9atC","2","1","1","Dark Chocolate Cream","2","2","Banana Caramel Cream","1","2","WIN"
"uAFjXJN_9atC","2","2","1","Banana Caramel Cream","1","2","Dark Chocolate Cream","2","2","LOSS"
"T_Pdq1qwaGKei","3","3","1","Boozy Blackberry Orange Cream ","3","9","German Chocolate Pie","0","0","WIN"
"T_Pdq1qwaGKei","3","2","1","German Chocolate Pie","0","0","Boozy Blackberry Orange Cream ","3","9","LOSS"
"xQtZyWjNr0Eys","3","3","1","Carrot Cake","0","0","Irish Cream Brownie","3","6","LOSS"
"xQtZyWjNr0Eys","3","2","1","Irish Cream Brownie","3","6","Carrot Cake","0","0","WIN"
"YK6MfVOPgQYYX","3","3","1","Whiskey Silk","2","6","Astronaut","1","3","WIN"
"YK6MfVOPgQYYX","3","3","1","Astronaut","1","3","Whiskey Silk","2","6","LOSS"
"dw4FYqRNZhDAR","3","2","1","Dark Chocolate Cream","2","4","Dirt","1","2","WIN"
"dw4FYqRNZhDAR","3","2","1","Dirt","1","2","Dark Chocolate Cream","2","4","LOSS"
"4nmBEdmqVXdEt","4","4","1","Boozy Blackberry Orange Cream ","2","8","Irish Cream Brownie","1","3","WIN"
"4nmBEdmqVXdEt","4","3","1","Irish Cream Brownie","1","3","Boozy Blackberry Orange Cream ","2","8","LOSS"
"TSg5rT5MuDQ_w","4","4","1","Whiskey Silk","3","12","Dark Chocolate Cream","0","0","WIN"
"TSg5rT5MuDQ_w","4","3","1","Dark Chocolate Cream","0","0","Whiskey Silk","3","12","LOSS"
"QDb0FiX1KdgWs","5","5","1","Whiskey Silk","1","5","Boozy Blackberry Orange Cream ","2","10","LOSS"
"QDb0FiX1KdgWs","5","5","1","Boozy Blackberry Orange Cream ","2","10","Whiskey Silk","1","5","WIN"
